FY,CIT_REVENUE_Growth_Rate,EXCHANGE_RATE,BOP_INFLOWS_Growth_Rate,BOP_OUTFLOWS_Growth_Rate,LENDING_RATE,CIT_RATE,GDP_PERCAPITA_Growth_Rate,INFLATION_RATE,URBAN_POPULATION_GROWTH_RATE
1991-92,47.19,24.474,43.403,28.544,19,45,12.671,13.89,2.799
1992-93,13.314,30.649,17.647,25.619,17,50,12.83,10.11,2.765
1993-94,13.053,31.366,35.263,16.455,14,50,12.501,8.23,2.736
1994-95,31.709,31.399,8.299,14.56,15,40,14.983,12.57,2.706
1995-96,24.431,33.45,15.825,28.467,16.5,40,15.048,8.05,2.685
1996-97,14.289,35.5,29.894,18.329,14.75,40,13.495,4.57,2.657
1997-98,6.225,37.165,12.318,15.815,14,35,8.72,4.37,2.626
1998-99,22.548,42.071,8.327,8.268,12.5,35,12.473,5.95,2.59
1999-00,25.126,43.333,19.256,17.667,12.25,35,9.573,3.33,2.55
2000-01,16.303,45.684,27.564,29.313,11.5,35,5.872,7.24,2.638
2001-02,2.558,47.692,-1.37,-6.467,11.5,35,6.099,3.57,2.857
2002-03,26.122,48.395,15.502,12.405,11.125,35,6.132,3.26,2.813
2003-04,37.664,45.952,31.247,25.243,10.625,35,10.467,5.61,2.773
2004-05,30.078,44.932,33.8,43.929,10.5,35,12.463,6.48,2.726
2005-06,22.493,44.274,24.599,31.799,10.5,30,12.239,4.37,2.685
2006-07,42.498,45.25,-98.566,-98.614,12.375,30,15.468,6.58,2.645
2007-08,34.121,40.261,40.497,33.481,12.5,30,13.518,4.77,2.6
2008-09,10.247,45.993,1.254,18.98,12,30,11.004,8.03,2.541
2009-10,14.682,47.443,7.028,1.714,11.5,30,13.877,3.84,2.482
2010-11,22.05,45.563,31.532,32.31,8.875,30,18.3,9.55,2.424
2011-12,8.078,47.923,11.756,14.924,10.125,30,11.244,8.93,2.399
2012-13,10.381,54.41,13.287,11.278,9.975,30,12.441,6.9,2.379
2013-14,10.763,60.502,17.843,16.528,10.125,30,11.523,5.24,2.373
2014-15,8.677,61.144,5.35,0.989,10.125,30,9.587,1.24,2.374
2015-16,5.666,65.469,-2.448,1.497,9.5,30,9.081,1,2.376
2016-17,6.993,67.072,8.725,8.444,7.975,30,10.175,1.73,2.379
2017-18,17.792,64.455,10.845,9.131,7.875,30,9.841,2.96,2.379
2018-19,,65.99577,13.66046,13.35138,7.877035,30 27.71394,9.874864,2.526441,2.379
2019-20,,67.53612,13.66046,13.35138,7.877035,30 26.76433,9.874864,2.526441,2.379
2020-21,,69.07646,13.66046,13.35138,7.877035,30 26.03369,9.874864,2.526441,2.379
